,Name,Sale Price,Rating,Number of Reviews,Category,Sub-Category,Brand
97,"Thanksgiving Party Decorations,Burgundy Yellow Orange Balloon Arch Kit ,Balloon Arch Garland Kit Thanksgiving Themed Backdrop Banner and Tablecloth for Thanksgiving Fall Birthday Party Supplies",13.99,0.0,0.0,Free returns are available for the shipping address you chose. You can return the item for any reason in new and unused condition: no shipping charges,Go to your orders and start the return,Unknown
98,Momkids 6 Pcs Faux Flower Fake Babys Breath Flower Bulk Artificial Gypsophila Bouquet Silk Floral for Home Kitchen Bedroom Festival Wedding Xmas Party Decor (Orange),9.99,4.0,5558.0,Home & Kitchen,Home Décor Products,Momkids
99,"gypsy color The Original 4 Light Crystal White Hardwire Flush Mount Chandelier H17.5”xW15”, White Metal Frame with Clear Glass Stem and Clear Acrylic Crystals & Beads That Sparkle Just Like Glass",79.99,4.5,3671.0,Tools & Home Improvement,Lighting & Ceiling Fans,gypsy color
100,Fall Party Supplies Thanksgiving Autumn Decorations-96 PCS Autumn Thanksgiving Disposable Dinnerware Set with Maple Leaves Gold Paper Plates Napkins and Forks for Harvest Celebrations,13.99,3.8,15.0,Home & Kitchen,Event & Party Supplies,Generic
101,"Family Fun Thanksgiving Activity Poster - 30 x 72 Inches, Turkey-Themed Thanksgiving Day Party, Versatile Paper Coloring Banner/Table Cover for Fall School Parties and Special Events Decoration",9.98,4.9,72.0,Toys & Games,Party Supplies,Gatherfun
102,"Konsait Thanksgivings Glasses Funny Thanksgiving Sunglasses Decorative Eyeglasses Photo Prop,Turkey Glasses,Fall Themed Birthday Decorations, Thanksgiving Party Favors Supplies Decor,24 Pack",11.99,4.1,75.0,Toys & Games,Party Supplies,Unknown
103,Ileading Fall Thanksgiving Kitchen Anti Fatigue Mat Set of 2 Black Spice Pumpkin Non Slip Cushioned Kitchen Sink Floor Mats Waterproof Foam Comfort Standing Runner Rug Padded Holiday Home Decorations,16.99,4.9,46.0,Home & Kitchen,Kitchen & Dining,Ileading
104,Fall Party Decorations Kit Yellow Orange Brown Paper Hanging Fans Lantern Flowers Pom Pom with 3D Butterfly Autumn Leaves Garland for Wedding Bridal Shower Birthday Harvest Thanksgiving Party Supplies,22.99,4.6,420.0,Home & Kitchen,Event & Party Supplies,pinkblume
105,"4 Pieces Thanksgiving Wooden Table Signs - Harvest Thanksgiving Themed Table Centerpiece Signs, Autumn Pumpkin Wood Stand Up for Home Office Thanksgiving Fall Decor",12.99,4.5,9.0,Home & Kitchen,Home Décor Products,AOGKTON
106,"Decodinli 68 PCS Thanksgiving Artificial Fall Harvest Decoration Set Pumpkins Set, 14 PCS Pumpkins, 20 PCS Acorns, 4 PCS Pinecones and 30 PCS Maple Leaves, Fall Harvest Pumpkins Home Decoration Set",9.99,3.5,3.0,Home & Kitchen,Home Décor Products,Decodinli
107,"Woohaha 24LED Fall Tree Lighted Maple Tree,Thanksgiving Decoration Maple Leaf Table Tree,Timer Battery Operate Fall Decor Lights for Indoor Outdoor Holiday Autumn Harvest Xmas Party Home Decor",11.99,4.6,21.0,Home & Kitchen,Home Décor Products,woohaha
108,ENVEN 108pcs Fall Thanksgiving Party Decoration Supplies Kit HAPPY THANKSGIVING Banner Hanging Swirls Balloons Stickers Party Decorations Sets for Kids Fall Thanksgiving Party Set,9.99,5.0,7.0,Toys & Games,Party Supplies,ENVEN
109,"SY Super Bang Rustic Boho Christmas Ball Ornaments Set, 2.76""/70MM Shatterproof Christmas Tree Hanging Decorations, for Home Party Indoor Farmhouse Thanksgiving Xmas Decor - 6PCS.",6.49,4.1,42.0,Home & Kitchen,Seasonal Décor,Unknown
110,"Glass Battery Operated LED Flameless Candles with Remote and Timer, Real Wax Candles Warm Color Flickering Light for Festival Wedding Home Party Decor(Pack of 3)-Gold",25.99,4.6,2350.0,Tools & Home Improvement,Lighting & Ceiling Fans,Tyawon
