,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
821,Transpac Ceramic Multicolored Christmas Light Up Painted Nativity Decor,20.99,20.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
822,Transpac Resin 9.25 in. Multicolored Christmas Light Up Santa Gnome Decor,33.99,33.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
823,Transpac Resin 15.25 in. Multicolored Christmas Light Up Bird House Decor,57.99,57.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
824,Gallerie II Cottage Angel Set of 2 Christmas Holiday Xmas Soft Figure Decor Decoration,59.39,47.99,19.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Gallerie II
825,Christmas Reindeer Shelf Sitter Ganz  -  Decorative Figurines,53.99,50.98,6.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,GANZ
826,Transpac Resin 12 in. White Christmas Snowman with Cardinal Branches Decor,38.99,38.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
827,Transpac Ceramic 5.51 in. Green Christmas Light Up Accent Snowman Decor,9.99,9.99,0.0,5.0,1,Christmas Decorations,Indoor Christmas Decorations,Transpac
828,Transpac Resin 19.25 in. Multicolored Christmas Light Up Snowman/Reindeer Decor Set of 2,76.99,76.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
829,Transpac Metal 23.5 in. Gray Christmas Santa and Sleigh Flying Decor,36.99,36.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
830,"Juvale 12 Pack 4.25"" Mini Christmas Trees for Table Top Decorations, Holiday Decor, 4.25 x 2 Inches",21.99,13.99,36.0,4.3,3,Christmas Decorations,Indoor Christmas Decorations,Juvale
831,Transpac Resin Multicolored Christmas Dancing Snowman and Santa Decor,27.99,27.99,0.0,0.0,0,Christmas Decorations,Indoor Christmas Decorations,Transpac
